OBJECTID,שם רשות,מס' כביש,שטח (מ''ר),מקור,מעודכן לתאריך
1,נת''א,שדרות ירושלים- ורבורג,270413,נתיבי איילון,"רבעון 1, 2026"
2,נת''א,ציר הכיכרות,159301,נתיבי איילון,"רבעון 1, 2026"
3,נת''א,כביש 4 ו- 781,423420,נתיבי איילון,"רבעון 1, 2026"
4,נת''א,כביש 402,154077,נתיבי איילון,"רבעון 1, 2026"
5,נת''א,כביש 2,1351414,נתיבי איילון,"רבעון 1, 2026"
6,נת''א,אלכסנדרוני 4622,53983,נתיבי איילון,"רבעון 1, 2026"
7,נת''א,כביש 421 עוקף רמלה,197610,נתיבי איילון,"רבעון 1, 2026"
8,נת''א,כביש 20,3299493,נתיבי איילון,"רבעון 1, 2026"
9,נת''א,כביש 752,273246,נתיבי איילון,"רבעון 1, 2026"
10,נת''א,כביש 705,131445,נתיבי איילון,"רבעון 1, 2026"
