OBJECTID,מס' סידורי,עיר,רשות תמרור,מרכז מטרופוליני,שלב,קוד צומת במערכת אביבים,X,Y,סטטוס,שם,רחוב ראשי,שם רחוב 1,שם רחוב 2,שם רחוב 3,שם רחוב 4,נת''צ קיים,מהיר לעיר,הקו הכחול,רכבת קלה - הקו האדום,רכבת קלה - הקו הירוק,רכבת קלה - הקו הסגול,הקו החום,הקו הירוק,אופני דן,ללא פרוייקט,קווי המטרונית,קוד צומת ברשות מקומית,MANTA_AUTH,מעודכן לתאריך,מקור,Fast2City_,x,y
1,1.000000,אור יהודה,נת"י,0.000000, ,2001.000000,188005.756900,658864.835400,קיים,שדרות יצחק רבין,כביש 412,שדרות יצחק רבין, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,188005.757,658864.835
2,2.000000,אור יהודה,נת"י,0.000000, ,2002.000000,186972.262500,658582.023500,קיים,יהדות קנדה כביש 412,כביש 412,יהדות קנדה, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,186972.263,658582.024
3,3.000000,אור יהודה,אור יהודה,0.000000, ,2003.000000,186926.225300,658817.185100,קיים,יהדות קנדה - אריאל שרון,יהדות קנדה,אריאל שרון, , , ,לא,לא,לא,לא,לא,לא,לא, ,לא,כן,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,186926.225,658817.185
4,4.000000,אור יהודה,אור יהודה,0.000000, ,2004.000000,185676.000000,659921.000000,בתכנון,קזז - הראשונים - הרצל,יחזקאל קזז,הראשונים,הרצל, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY21,185676,659921
5,5.000000,אור יהודה,אור יהודה,0.000000, ,2005.000000,186880.839200,659243.742000,קיים,סעדון - משה דיין - העצמאות - יהדות קנדה,יהדות קנדה,העצמאות,איליהו סעדון,משה דיין, ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY10,186880.839,659243.742
6,6.000000,אור יהודה,אור יהודה,0.000000, ,2006.000000,187349.309000,659565.268300,קיים,העצמאות - דוד אלעזר - החצב,העצמאות,חצב,דוד אלעזר, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY14,187349.309,659565.268
7,7.000000,אור יהודה,נת"ע,0.000000, ,2007.000000,187504.129200,660021.337200,קיים,העצמאות סביון,כביש 461,העצמאות, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,187504.129,660021.337
8,8.000000,אור יהודה,נת"ע,0.000000, ,2008.000000,186370.021900,660225.578000,קיים,שדרות אלון יגאל,כביש 461,שדרות אלון יגאל, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,186370.022,660225.578
9,9.000000,אור יהודה,נת"ע,0.000000, ,2009.000000,185678.313600,660349.648600,קיים,קזז יחזקאל,כביש 461,קזז יחזקאל, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185678.314,660349.649
10,10.000000,אור יהודה,נת"ע,0.000000, ,2010.000000,185678.523300,660090.339100,קיים,קזז - ההגנה,קזז יחזקאל,ההגנה, , , ,לא,כן,לא,לא,לא,כן,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY03,185678.523,660090.339
11,11.000000,אור יהודה,אור יהודה,0.000000, ,2011.000000,185676.744000,660077.515500,קיים,קזז יחזקאל רמזור,יחזקאל קזז,דוד רמז, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185676.744,660077.515
12,12.000000,אור יהודה,נת"ע,0.000000, ,2012.000000,185086.924900,660443.339100,קיים,עגיב כמוס,כביש 461,עגיב כמוס, , , ,לא,לא,לא,לא,לא,כן,לא, ,כן,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה, ,185086.925,660443.339
13,13.000000,אור יהודה,אור יהודה,0.000000, ,2013.000000,185697.423400,660210.078900,בתכנון,קזז - צבי פנקס,יחזקאל קזז,צבי פנקס, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY02,185697.423,660210.079
14,14.000000,אור יהודה,אור יהודה,0.000000, ,2014.000000,185825.900300,659624.663700,בתכנון,בן פורת - אפרים גואטה,שדרות מדרכי בן פורת,סמטת אפריים גואטה, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY04,185825.9,659624.664
15,15.000000,אור יהודה,אור יהודה,0.000000, ,2015.000000,185956.248100,659551.085500,בתכנון,בן פורת - לח"י,שדרות מדרכי בן פורת,הלח"י, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY05,185956.248,659551.086
16,16.000000,אור יהודה,אור יהודה,0.000000, ,2016.000000,186041.403300,659491.855800,בתכנון,בן פורת - השומר,שדרות מדרכי בן פורת,השומר, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY06,186041.403,659491.856
17,17.000000,אור יהודה,אור יהודה,0.000000, ,2017.000000,186125.788500,659401.929700,בתכנון,בן פורת - החלוצים,שדרות מדרכי בן פורת,החלוצים, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY07,186125.789,659401.93
18,18.000000,אור יהודה,אור יהודה,0.000000, ,2018.000000,186276.401900,659242.933400,בתכנון,בן פורת - הל"ה,שדרות מדרכי בן פורת,הל"ה, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY08,186276.402,659242.933
19,19.000000,אור יהודה,אור יהודה,0.000000, ,2019.000000,186413.777500,659217.337000,בתכנון,סעדון - איילת השחר,שדרות מדרכי בן פורת,אליהו סעדון,סקאלר,שפרינצק, ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY09,186413.777,659217.337
20,20.000000,אור יהודה,אור יהודה,0.000000, ,2020.000000,186986.071200,659254.351500,בתכנון,העצמאות - ההסתדרות,העצמאות,ההסתדרות, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY11,186986.071,659254.352
21,21.000000,אור יהודה,אור יהודה,0.000000, ,2021.000000,187051.309400,659344.459100,בתכנון,העצמאות - ירושלים,העצמאות,ירושלים, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY12,187051.309,659344.459
22,22.000000,אור יהודה,אור יהודה,0.000000, ,2022.000000,187465.232000,659616.565500,בתכנון,העצמאות - יוסף חיים,העצמאות,חיים יוסף, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY15,187465.232,659616.566
23,23.000000,אור יהודה,אור יהודה,0.000000, ,2023.000000,187523.000000,659722.000000,בתכנון,העצמאות - הכלנית,העצמאות,הכלנית, , , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY16,187523,659722
24,24.000000,אור יהודה,אור יהודה,0.000000, ,2024.000000,187522.249900,659821.022200,בתכנון,העצמאות - יקותיאל אדם,העצמאות,הכלנית,אדם יקותיאל, , ,לא,כן,לא,לא,לא,לא,לא, ,לא,לא,לא, ,OY,"רבעון 3, 2025",נתיבי איילון / CRG הנדסה,OY17,187522.25,659821.022
